Rank,Name,Country,Sector,Absolute Growth Rate,Compound Annual Growth Rate,Revenue 2017,Employees 2017,Founded,Revenue 2018,Revenue 2015,Employees 2018,Revenue 2019,Revenue 2016,Employees 2019,Employees 2016,Revenue 2020,Employees 2020,Revenue 2021,Employees 2021,Revenue 2022,Employees 2022,Year
579,Assicuratore Facile,Italy,"Fintech, Financial Services & Insurance",281.9%,56.3%,,,2016,,,,"502,324",,4,,,,,,"1,918,416",20,2024
580,RoomRaccoon,Netherlands,It & Software,281.3%,56.2%,,,2017,,,,"955,099",,40,,,,,,"3,642,221",90,2024
581,LGG Advisors,Portugal,"Professional, Scientific & Technical Services",281.2%,56.2%,,,2008,,,,"420,883,150",,7,,,,,,"1,604,369,810",23,2024
582,Energiasolare100,Italy,Ecommerce,280.8%,56.2%,,,2015,,,,"2,316,837",,10,,,,,,"8,821,982",12,2024
583,AP Autohaus,Germany,Automotive,280.6%,56.1%,,,2016,,,,"834,292",,4,,,,,,"3,175,559",4,2024
584,Dimaxbau,Germany,Construction & Engineering,280.6%,56.1%,,,2016,,,,"1,234,228",,12,,,,,,"4,697,344",20,2024
585,ITDS,Poland,It & Software,279.4%,56.0%,,,2015,,,,"6,078,319",,120,,,,,,"20,869,744",380,2024
586,Sidea Group,Italy,It & Software,279.0%,55.9%,,,2015,,,,"1,768,001",,24,,,,,,"6,700,353",132,2024
587,CitizenLab,Belgium,It & Software,278.6%,55.9%,,,2015,,,,"723,919",,18,,,,,,"2,740,533",59,2024
588,Factory,France,Real Estate,278.0%,55.8%,,,2017,,,,"11,480,368",,35,,,,,,"43,391,564",65,2024
589,Vasco Electronics,Poland,It & Software,276.8%,55.6%,,,2012,,,,"5,327,899",,91,,,,,,"18,168,889",162,2024
590,LeadLogic,Netherlands,Advertising & Marketing,276.6%,55.6%,,,2014,,,,"643,155",,7,,,,,,"2,422,363",16,2024
591,Markt-Bau,Germany,Ecommerce,275.9%,55.5%,,,2016,,,,"2,175,700",,8,,,,,,"8,177,859",20,2024
592,Comfort Click,UK,Ecommerce,275.5%,55.4%,,,2005,,,,"10,868,555",,115,,,,,,"38,941,148",175,2024
593,U.G.A. Nutraceuticals,Italy,Pharmaceuticals & Cosmetics,275.1%,55.4%,,,2005,,,,"3,873,241",,9,,,,,,"14,528,227",11,2024
594,Hagedorn Products & Systems,Germany,Wholesale,274.5%,55.3%,,,2018,,,,"2,346,825",,8,,,,,,"8,789,636",25,2024
595,Everli,Italy,Ecommerce,274.3%,55.3%,,,2014,,,,"27,725,000",,114,,,,,,"103,783,000",184,2024
596,Advisori FTC,Germany,Management Consulting,274.2%,55.3%,,,2014,,,,"6,200,000",,81,,,,,,"23,200,000",105,2024
597,Lovall,UK,Apparel & Fashion,274.0%,55.2%,,,2015,,,,"1,922,444",,5,,,,,,"6,859,857",18,2024
598,Selferg,Italy,Energy & Utilities,274.0%,55.2%,,,2007,,,,"1,816,410",,20,,,,,,"6,792,688",70,2024
599,CurrentBody,UK,Ecommerce,273.1%,55.1%,,,2009,,,,"18,719,491",,52,,,,,,"66,648,410",105,2024
600,DigitalSpital,Germany,Advertising & Marketing,272.2%,55.0%,,,2016,,,,"698,541",,7,,,,,,"2,599,904",18,2024
601,In Situ,Italy,Construction & Engineering,271.4%,54.9%,,,2007,,,,"1,502,700",,4,,,,,,"5,581,115",67,2024
602,Allround Handels,Germany,Logistics & Transportation,270.9%,54.8%,,,2014,,,,"933,484",,5,,,,,,"3,462,473",10,2024
603,Tarhan Bauausführungen,Germany,Construction & Engineering,270.7%,54.8%,,,2017,,,,"1,166,275",,25,,,,,,"4,323,512",33,2024
604,iBanFirst,Belgium,"Fintech, Financial Services & Insurance",270.4%,54.7%,,,2013,,,,"7,924,164",,130,,,,,,"29,349,952",273,2024
605,smapOne,Germany,It & Software,270.2%,54.7%,,,2014,,,,"1,791,138",,23,,,,,,"6,630,388",127,2024
606,Gong,France,Retail,269.7%,54.6%,,,2009,,,,"5,729,261",,20,,,,,,"21,180,083",95,2024
607,EO Charging,UK,Automotive,269.5%,54.6%,,,2014,,,,"5,525,863",,42,,,,,,"19,481,286",180,2024
608,89up,UK,Advertising & Marketing,268.9%,54.5%,,,2009,,,,"1,505,739",,24,,,,,,"5,300,467",39,2024
609,Aconstruct,France,Construction & Engineering,268.9%,54.5%,,,2008,,,,"18,573,634",,17,,,,,,"68,512,171",34,2024
610,CrazyGames,Belgium,It & Software,268.3%,54.4%,,,2014,,,,"3,392,463",,5,,,,,,"12,494,858",16,2024
611,Chianti Restorations,Italy,Construction & Engineering,268.2%,54.4%,,,2017,,,,"2,915,554",,11,,,,,,"10,735,852",37,2024
612,econes,Germany,Automotive,267.6%,54.3%,,,2005,,,,"4,373,715",,3,,,,,,"16,076,484",3,2024
613,Montbazens Auto Service,France,Automotive,267.4%,54.3%,,,2013,,,,"839,106",,3,,,,,,"3,082,791",10,2024
614,MySecretCase,Italy,Ecommerce,267.0%,54.3%,,,2013,,,,"2,779,095",,13,,,,,,"10,200,643",11,2024
615,360Learning,France,It & Software,266.7%,54.2%,,,2013,,,,"12,000,000",,166,,,,,,"44,000,000",400,2024
616,SchönerTel,Germany,Construction & Engineering,266.6%,54.2%,,,2016,,,,"9,948,878",,33,,,,,,"36,470,966",168,2024
617,Tahir Investments,Germany,Hospitality & Travel,266.3%,54.2%,,,2017,,,,"898,043",,19,,,,,,"3,289,897",33,2024
618,sunextrusion,Germany,Manufacturing,266.3%,54.1%,,,2017,,,,"5,575,000",,32,,,,,,"20,420,000",46,2024
619,Unit8,Switzerland,It & Software,265.4%,54.0%,,,2017,,,,"4,659,913",,26,,,,,,"18,647,538",108,2024
620,Zara,Italy,Manufacturing,265.3%,54.0%,,,1984,,,,"1,561,061",,4,,,,,,"5,703,144",6,2024
621,Spiideo,Sweden,It & Software,264.8%,53.9%,,,2012,,,,"2,245,873",,18,,,,,,"7,681,666",71,2024
622,Hammonia Oleo,Germany,Chemicals,264.4%,53.9%,,,2017,,,,"6,182,511",,8,,,,,,"22,531,928",12,2024
623,Personal-Helden,Germany,Employment Services,264.4%,53.9%,,,2018,,,,"566,677",,10,,,,,,"2,065,181",30,2024
624,Parcel Compare,UK,Logistics & Transportation,263.2%,53.7%,,,1998,,,,"2,937,533",,25,,,,,,"10,179,125",30,2024
625,I-Particuliers,France,Real Estate,262.7%,53.6%,,,2011,,,,"2,749,611",,6,,,,,,"9,972,400",12,2024
626,power2Cloud,Italy,It & Software,259.5%,53.2%,,,2016,,,,"491,470",,6,,,,,,"1,766,696",9,2024
627,Diro Legno,Italy,Construction & Engineering,259.4%,53.2%,,,2017,,,,"1,440,000",,3,,,,,,"5,175,000",6,2024
628,Non-Stop dogwear,Norway,Apparel & Fashion,259.3%,53.2%,,,2009,,,,"5,197,824",,16,,,,,,"17,531,715",42,2024
629,MRPeasy,Estonia,It & Software,258.1%,53.0%,,,2014,,,,"1,011,453",,10,,,,,,"3,621,682",27,2024
630,Xalient,UK,It & Software,257.5%,52.9%,,,2015,,,,"12,417,829",,54,,,,,,"42,355,475",161,2024
631,Awesome Software,Germany,It & Software,257.2%,52.9%,,,2015,,,,"2,418,025",,22,,,,,,"8,638,164",32,2024
632,Stromkontor,Germany,Energy & Utilities,256.3%,52.7%,,,2015,,,,"20,826,000",,15,,,,,,"74,203,000",33,2024
633,Legimi,Poland,Leisure & Entertainment,256.3%,52.7%,,,2009,,,,"4,096,914",,15,,,,,,"13,209,232",37,2024
634,Manuel Costruzioni Generali,Italy,Construction & Engineering,253.5%,52.3%,,,2010,,,,"978,844",,16,,,,,,"3,459,961",32,2024
635,SomosSapiens,Spain,Advertising & Marketing,252.1%,52.1%,,,2019,,,,"11,752,325",,24,,,,,,"41,375,327",35,2024
636,Sweef,Sweden,Retail,251.7%,52.1%,,,2011,,,,"5,920,882",,11,,,,,,"19,521,475",34,2024
637,Onemedia Consulting,Germany,It & Software,251.6%,52.1%,,,2012,,,,"621,278",,4,,,,,,"2,184,248",16,2024
638,Heim Grünanlagenbau,Germany,Construction & Engineering,251.2%,52.0%,,,2010,,,,"2,786,820",,14,,,,,,"9,788,466",47,2024
639,Eligo,Italy,Apparel & Fashion,251.2%,52.0%,,,2016,,,,"587,619",,2,,,,,,"2,063,441",5,2024
640,ID Finance,Spain,"Fintech, Financial Services & Insurance",251.1%,52.0%,,,2015,,,,"48,421,000",,365,,,,,,"170,021,000",432,2024
641,Storeis,Italy,Advertising & Marketing,251.0%,52.0%,,,2018,,,,"1,211,000",,19,,,,,,"4,251,000",54,2024
642,Calicantus,Italy,Advertising & Marketing,251.0%,52.0%,,,2007,,,,"4,817,397",,20,,,,,,"16,908,167",28,2024
643,ContractPodAi,UK,It & Software,250.6%,51.9%,,,2012,,,,"4,875,494",,76,,,,,,"16,311,002",322,2024
644,Finbourne Technology,UK,"Fintech, Financial Services & Insurance",250.4%,51.9%,,,2016,,,,"4,702,039",,53,,,,,,"15,722,123",187,2024
645,greenist,Germany,Ecommerce,249.2%,51.7%,,,2016,,,,"1,433,810",,4,,,,,,"5,006,230",38,2024
646,Anaxago,France,"Fintech, Financial Services & Insurance",248.1%,51.6%,,,2012,,,,"4,153,183",,30,,,,,,"14,458,000",50,2024
647,Grenergy,Spain,Energy & Utilities,246.7%,51.4%,,,2007,,,,"84,500,000",,142,,,,,,"293,000,000",289,2024
648,Natural Food Service,Italy,Wholesale,246.4%,51.3%,,,2011,,,,"11,513,454",,11,,,,,,"39,879,084",70,2024
649,Abylon Consulting,Hungary,It & Software,245.8%,51.2%,,,2016,,,,"893,373",,5,,,,,,"2,553,128",37,2024
650,Expera Conseils,France,Legal & Accounting Services,245.6%,51.2%,,,2013,,,,"645,231",,6,,,,,,"2,229,770",26,2024
651,Vitesse PSP,UK,"Fintech, Financial Services & Insurance",245.5%,51.2%,,,2013,,,,"3,706,376",,37,,,,,,"12,218,152",124,2024
652,Plásticos Dão,Portugal,Manufacturing,245.1%,51.1%,,,2012,,,,"1,348,554",,12,,,,,,"4,654,023",29,2024
653,Sendcloud,Netherlands,It & Software,244.9%,51.1%,,,2012,,,,"7,297,885",,123,,,,,,"25,172,987",459,2024
654,Superprof,France,Education & Social Services,244.9%,51.1%,,,2013,,,,"6,966,142",,88,,,,,,"24,028,203",201,2024
655,Standard Fuel Oils,UK,Energy & Utilities,244.4%,51.0%,,,2011,,,,"87,111,463",,22,,,,,,"286,240,464",42,2024
656,Tecs,Italy,Energy & Utilities,244.3%,51.0%,,,2016,,,,"627,743",,8,,,,,,"2,161,533",13,2024
657,Zahnriemen24,Germany,Ecommerce,243.8%,50.9%,,,2009,,,,"1,396,066",,11,,,,,,"4,800,209",19,2024
658,Jurassicfruit,Germany,Hospitality & Travel,243.8%,50.9%,,,2015,,,,"743,657",,13,,,,,,"2,556,645",28,2024
659,Air Innovation,Italy,Construction & Engineering,243.6%,50.9%,,,2014,,,,"2,321,594",,19,,,,,,"7,977,700",33,2024
660,Aux Armes de Diane,France,Retail,243.3%,50.9%,,,2016,,,,"1,001,300",,4,,,,,,"3,437,700",6,2024
661,Cool4u,Hungary,Wholesale,243.1%,50.8%,,,2001,,,,"26,799,530",,35,,,,,,"91,951,496",53,2024
662,elloha,France,It & Software,242.5%,50.7%,,,2018,,,,"696,494",,2,,,,,,"2,385,505",42,2024
663,Artheau Aviation,France,Aerospace & Defence,242.4%,50.7%,,,2012,,,,"5,351,630",,5,,,,,,"18,321,800",11,2024
664,Gallin Bois,France,Manufacturing,242.3%,50.7%,,,1928,,,,"1,641,142",,12,,,,,,"5,617,073",22,2024
665,Nova Rent,Lithuania,"Agriculture, Forestry & Fishing",242.2%,50.7%,,,2016,,,,"6,856,131",,16,,,,,,"23,459,968",41,2024
666,Contents,Italy,It & Software,242.1%,50.7%,,,2016,,,,"1,017,098",,20,,,,,,"3,479,141",50,2024
667,One Lease,France,"Professional, Scientific & Technical Services",241.7%,50.6%,,,2016,,,,"5,312,545",,9,,,,,,"18,150,982",20,2024
668,Gusto,France,Wholesale,241.6%,50.6%,,,2012,,,,"4,351,994",,12,,,,,,"14,867,568",34,2024
669,Sinay,France,It & Software,241.3%,50.6%,,,2008,,,,"1,509,525",,42,,,,,,"5,152,448",72,2024
670,Digital Angels,Italy,Advertising & Marketing,241.1%,50.5%,,,2007,,,,"4,838,764",,18,,,,,,"16,506,780",65,2024
671,Serpe,France,"Professional, Scientific & Technical Services",240.9%,50.5%,,,1988,,,,"22,336,523",,329,,,,,,"76,155,969",1066,2024
672,LA-Grossküchenservice,Germany,Wholesale,240.8%,50.5%,,,2013,,,,"634,312",,3,,,,,,"2,161,464",5,2024
673,Ogrodosfera.pl,Poland,Ecommerce,240.0%,50.4%,,,2011,,,,"8,465,867",,18,,,,,,"26,049,413",26,2024
674,beSharp,Italy,It & Software,240.0%,50.4%,,,2011,,,,"1,361,464",,16,,,,,,"4,629,001",39,2024
675,Clos & Monopole,France,Ecommerce,239.6%,50.3%,,,2017,,,,"1,010,915",,4,,,,,,"3,433,546",11,2024
676,Grayce,UK,Management Consulting,239.4%,50.3%,,,2012,,,,"12,383,383",,221,,,,,,"40,105,640",652,2024
677,3E Studio,Italy,"Professional, Scientific & Technical Services",239.3%,50.3%,,,2015,,,,"2,766,216",,22,,,,,,"9,384,426",32,2024
678,Intergo Telecom,Cyprus,Media & Telecommunications,239.2%,50.3%,,,2016,,,,"615,484",,6,,,,,,"2,087,930",25,2024
679,EasyPark Group,Sweden,"Professional, Scientific & Technical Services",239.2%,50.2%,,,2002,,,,"74,300,000",,420,,,,,,"251,998,000",828,2024
680,Prium Group,France,Employment Services,238.6%,50.2%,,,2012,,,,"14,745,606",,25,,,,,,"49,930,685",28,2024
681,Storage Share,Netherlands,Real Estate,238.2%,50.1%,,,2016,,,,"827,486",,4,,,,,,"2,798,731",8,2024
682,Oxylabs,Lithuania,It & Software,238.1%,50.1%,,,2015,,,,"18,715,593",,166,,,,,,"63,277,523",371,2024
683,Oiko Gestion,France,Real Estate,238.1%,50.1%,,,2010,,,,"1,700,658",,27,,,,,,"5,749,430",65,2024
684,CH Oleochemicals,Germany,Waste Management & Recycling,238.0%,50.1%,,,2017,,,,"25,954,850",,10,,,,,,"87,730,090",10,2024
685,Aitho,Italy,It & Software,237.8%,50.0%,,,2016,,,,"490,412",,10,,,,,,"1,656,635",30,2024
686,Meivcore,Portugal,"Professional, Scientific & Technical Services",237.6%,50.0%,,,2013,,,,"818,274",,347,,,,,,"2,762,871",245,2024
687,Paysend,UK,"Fintech, Financial Services & Insurance",237.4%,50.0%,,,2017,,,,"17,662,759",,83,,,,,,"62,343,531",260,2024
688,BFP Service,Italy,Construction & Engineering,237.4%,50.0%,,,2012,,,,"1,608,475",,10,,,,,,"5,426,991",44,2024
689,Nethive,Italy,It & Software,236.8%,49.9%,,,2013,,,,"2,387,823",,14,,,,,,"8,042,045",38,2024
690,GlobKurier,Poland,Logistics & Transportation,236.8%,49.9%,,,2010,,,,"2,989,722",,19,,,,,,"9,112,055",31,2024
691,Revolgy,Czech Republic,It & Software,236.7%,49.9%,,,1996,,,,"10,235,784",,38,,,,,,"36,179,220",53,2024
692,SneakyBox,Lithuania,It & Software,236.5%,49.9%,,,2012,,,,"927,758",,34,,,,,,"3,122,260",67,2024
693,Küpper & Kollegen Steuerberatung,Germany,Management Consulting,236.4%,49.8%,,,2013,,,,"3,896,066",,104,,,,,,"13,104,668",155,2024
694,Commoditech,Poland,It & Software,236.2%,49.8%,,,2012,,,,"1,043,149",,30,,,,,,"3,173,394",50,2024
695,Secret Key,Italy,Advertising & Marketing,235.8%,49.7%,,,2013,,,,"1,040,463",,11,,,,,,"3,493,974",20,2024
696,Constellation,France,It & Software,234.8%,49.6%,,,2016,,,,"47,675,832",,198,,,,,,"159,622,412",688,2024
697,Ikow,France,Retail,234.4%,49.5%,,,2012,,,,"1,555,955",,5,,,,,,"5,203,629",10,2024
698,Mirror Production,Italy,Advertising & Marketing,233.2%,49.4%,,,2011,,,,"1,078,926",,5,,,,,,"3,595,025",25,2024
699,Kunua,Germany,Wholesale,232.9%,49.3%,,,2014,,,,"2,181,087",,6,,,,,,"7,260,916",9,2024
700,Seingim Global Service,Italy,Construction & Engineering,232.9%,49.3%,,,1999,,,,"8,711,339",,96,,,,,,"28,995,706",307,2024
701,FinTrU,UK,"Fintech, Financial Services & Insurance",231.8%,49.2%,,,2013,,,,"18,040,059",,390,,,,,,"57,114,718",1140,2024
702,Riparti,Italy,Automotive,231.8%,49.1%,,,2011,,,,"2,257,534",,4,,,,,,"7,490,159",6,2024
703,Vitamail,Norway,Pharmaceuticals & Cosmetics,231.7%,49.1%,,,2009,,,,"4,203,430",,24,,,,,,"13,089,926",15,2024
704,ITP Nord,Germany,It & Software,231.7%,49.1%,,,2014,,,,"4,981,839",,30,,,,,,"16,524,535",70,2024
705,Global Freaks,Spain,Ecommerce,231.6%,49.1%,,,2017,,,,"1,517,395",,7,,,,,,"5,032,268",16,2024
706,Ashler Et Manson,France,"Fintech, Financial Services & Insurance",231.6%,49.1%,,,2011,,,,"1,963,511",,30,,,,,,"6,510,477",90,2024
707,Zafferano,Italy,Furniture & Interiors,231.3%,49.1%,,,1999,,,,"11,171,855",,22,,,,,,"37,017,649",45,2024
708,Lamurista - Die Wandsinnigen,Germany,Construction & Engineering,231.3%,49.1%,,,2017,,,,"655,921",,3,,,,,,"2,173,023",14,2024
709,DVision Architecture,Italy,Construction & Engineering,230.4%,48.9%,,,2015,,,,"2,576,514",,3,,,,,,"8,512,751",7,2024
710,Symbiose Informatique,France,It & Software,230.4%,48.9%,,,1991,,,,"13,916,394",,32,,,,,,"45,973,962",34,2024
711,Arcipelago S.c.p.A.,Italy,Energy & Utilities,229.0%,48.7%,,,1999,,,,"18,238,529",,5,,,,,,"59,996,827",212,2024
712,Kpler,Belgium,It & Software,228.9%,48.7%,,,2019,,,,"12,270,629",,166,,,,,,"40,358,910",273,2024
713,Opéra Energie,France,Energy & Utilities,227.9%,48.6%,,,2014,,,,"7,441,471",,69,,,,,,"24,401,639",126,2024
714,Soldats Films,France,Advertising & Marketing,227.5%,48.5%,,,2012,,,,"1,923,921",,2,,,,,,"6,300,882",6,2024
715,Onetile,Italy,Retail,227.3%,48.5%,,,2017,,,,"1,322,949",,2,,,,,,"4,330,580",4,2024
716,10KB,Netherlands,It & Software,227.3%,48.5%,,,2013,,,,"463,667",,6,,,,,,"1,517,520",15,2024
717,elbmatic,Germany,Wholesale,226.9%,48.4%,,,2018,,,,"21,067,551",,9,,,,,,"68,860,854",23,2024
718,Arpe Group,Italy,Management Consulting,226.4%,48.3%,,,2008,,,,"1,375,781",,7,,,,,,"4,491,032",10,2024
719,Cava International S.r.l. Unipersonale,Italy,Logistics & Transportation,226.2%,48.3%,,,2006,,,,"12,914,979",,17,,,,,,"42,134,416",28,2024
720,Dog & Cat Megastore,Italy,Ecommerce,226.0%,48.3%,,,1987,,,,"1,405,000",,12,,,,,,"4,580,000",20,2024
721,Cam.Edil,Italy,Mechanical & Plant Engineering,225.4%,48.2%,,,2014,,,,"791,070",,2,,,,,,"2,573,890",3,2024
722,Fms Ea,France,It & Software,224.8%,48.1%,,,2008,,,,"5,018,295",,190,,,,,,"16,297,254",615,2024
723,Get It Made,UK,Manufacturing,224.3%,48.0%,,,2014,,,,"735,429",,1,,,,,,"2,275,591",4,2024
724,Worldwide Fishing Company,Spain,Food & Beverages,224.3%,48.0%,,,2016,,,,"97,684,516",,26,,,,,,"316,759,957",56,2024
725,Fattoretto,Italy,Advertising & Marketing,223.7%,47.9%,,,2014,,,,"564,202",,1,,,,,,"1,826,161",9,2024
726,Modalis,France,Logistics & Transportation,223.6%,47.9%,,,2002,,,,"6,441,276",,6,,,,,,"20,844,283",15,2024
727,Imaginary Cloud,Portugal,It & Software,223.2%,47.8%,,,2000,,,,"1,516,748",,30,,,,,,"4,677,157",85,2024
728,The Source,France,Advertising & Marketing,223.1%,47.8%,,,2017,,,,"2,196,869",,10,,,,,,"7,098,527",32,2024
729,SmartRanking,Netherlands,Advertising & Marketing,223.0%,47.8%,,,2015,,,,"488,355",,6,,,,,,"1,577,475",14,2024
730,Fae Technology,Italy,Manufacturing,223.0%,47.8%,,,1990,,,,"12,201,448",,74,,,,,,"39,411,028",107,2024
731,Hydrogen-Refueling-Solutions (Hrs),France,Metals & Mining,222.3%,47.7%,,,2004,,,,"5,285,000",,27,,,,,,"17,034,250",78,2024
732,Riluxa,Spain,Ecommerce,222.2%,47.7%,,,2016,,,,"2,246,538",,11,,,,,,"7,237,582",29,2024
733,Maco,Italy,Wholesale,222.1%,47.7%,,,1985,,,,"3,935,054",,6,,,,,,"12,672,883",7,2024
734,IMT Partners,France,Employment Services,222.0%,47.7%,,,2013,,,,"7,964,438",,7,,,,,,"25,646,164",32,2024
735,Gesco,Italy,Energy & Utilities,221.8%,47.6%,,,2006,,,,"8,623,568",,23,,,,,,"27,749,252",39,2024
736,R&K Ingenieure,Germany,Construction & Engineering,220.3%,47.4%,,,2016,,,,"3,759,800",,15,,,,,,"12,041,500",38,2024
737,CV Partner,Norway,It & Software,220.0%,47.4%,,,2012,,,,"1,076,136",,18,,,,,,"3,232,305",22,2024
738,Gaia Emprise,Italy,"Professional, Scientific & Technical Services",219.8%,47.3%,,,1995,,,,"1,065,411",,19,,,,,,"3,407,026",41,2024
739,CMSPI,UK,Management Consulting,219.6%,47.3%,,,2011,,,,"13,326,321",,74,,,,,,"44,558,157",118,2024
740,BrandUp Group,Italy,"Professional, Scientific & Technical Services",219.1%,47.2%,,,2016,,,,"1,765,564",,2,,,,,,"5,634,387",6,2024
741,Agenzia Chimica Italiana,Italy,Chemicals,219.1%,47.2%,,,2011,,,,"7,463,000",,4,,,,,,"23,813,000",7,2024
742,Sparklers Club,France,Retail,219.0%,47.2%,,,2015,,,,"1,366,447",,2,,,,,,"4,358,928",12,2024
743,Dein-Briefkasten.de,Germany,Ecommerce,218.8%,47.2%,,,2016,,,,"825,000",,4,,,,,,"2,630,000",6,2024
744,Herold,Germany,Construction & Engineering,218.7%,47.2%,,,2008,,,,"4,372,654",,33,,,,,,"13,935,976",96,2024
745,Floer,Netherlands,Wholesale,218.4%,47.1%,,,2017,,,,"1,321,368",,6,,,,,,"4,207,722",18,2024
746,Sonar,Switzerland,It & Software,218.0%,47.1%,,,2008,,,,"51,946,994",,127,,,,,,"180,918,602",419,2024
747,Highway Traffic Management,UK,Construction & Engineering,218.0%,47.1%,,,1988,,,,"8,158,650",,105,,,,,,"24,755,010",234,2024
748,Netalia,Italy,It & Software,217.3%,47.0%,,,2010,,,,"1,460,923",,3,,,,,,"4,635,891",26,2024
749,DBT Capital,Sweden,"Fintech, Financial Services & Insurance",216.9%,46.9%,,,2016,,,,"2,836,425",,10,,,,,,"8,427,193",30,2024
750,Eciglogística,Spain,Wholesale,216.5%,46.8%,,,2013,,,,"18,725,530",,39,,,,,,"59,262,808",48,2024
751,Pallet Solution,Hungary,Wholesale,216.3%,46.8%,,,2010,,,,"6,616,754",,4,,,,,,"17,299,509",5,2024
752,Mint Italia,Italy,Logistics & Transportation,216.0%,46.7%,,,2015,,,,"1,816,378",,5,,,,,,"5,739,917",7,2024
753,Kiwi Digital,Italy,Advertising & Marketing,215.9%,46.7%,,,2013,,,,"2,489,457",,22,,,,,,"7,863,067",41,2024
754,Taurus Corporate Finance,Netherlands,Management Consulting,215.6%,46.7%,,,2011,,,,"1,730,000",,10,,,,,,"5,460,000",16,2024
755,Pomilio Blumm,Italy,Advertising & Marketing,215.5%,46.7%,,,1991,,,,"23,562,064",,38,,,,,,"74,347,764",58,2024
756,CRMpartners,Italy,It & Software,214.9%,46.6%,,,2015,,,,"1,024,563",,9,,,,,,"3,226,109",28,2024
757,DYM Resources,Germany,Energy & Utilities,214.1%,46.5%,,,2016,,,,"17,798,680",,8,,,,,,"55,905,435",9,2024
758,Boxt,UK,Ecommerce,213.7%,46.4%,,,2017,,,,"27,101,843",,36,,,,,,"81,132,771",74,2024
759,Upline,Italy,"Professional, Scientific & Technical Services",213.3%,46.3%,,,2011,,,,"2,386,446",,12,,,,,,"7,477,222",13,2024
760,Abtot,Sweden,Construction & Engineering,213.0%,46.3%,,,2012,,,,"6,503,388",,19,,,,,,"19,085,783",48,2024
761,.mattomedia,Germany,Advertising & Marketing,213.0%,46.3%,,,2015,,,,"952,000",,12,,,,,,"2,980,000",35,2024
762,Guzzini & Fontana Projects,Italy,Furniture & Interiors,212.5%,46.2%,,,2015,,,,"1,818,819",,18,,,,,,"5,683,869",39,2024
763,NuBeTech,Italy,It & Software,212.2%,46.2%,,,2018,,,,"1,420,460",,17,,,,,,"4,435,226",64,2024
764,MultiBel,Netherlands,It & Software,211.2%,46.0%,,,1995,,,,"980,000",,18,,,,,,"3,050,000",25,2024
765,Hyntelo,Italy,It & Software,211.2%,46.0%,,,2015,,,,"2,038,633",,12,,,,,,"6,344,710",61,2024
766,Imaco,Italy,Construction & Engineering,211.1%,46.0%,,,2006,,,,"7,809,797",,42,,,,,,"24,295,117",126,2024
767,bitside,Germany,It & Software,210.7%,45.9%,,,2018,,,,"846,725",,4,,,,,,"2,631,148",27,2024
768,MCO,Ireland,"Fintech, Financial Services & Insurance",210.7%,45.9%,,,1998,,,,"10,109,547",,68,,,,,,"32,853,137",300,2024
769,Cicli Lombardo,Italy,Retail,210.5%,45.9%,,,2005,,,,"11,504,758",,47,,,,,,"35,724,268",79,2024
770,AS Labruna,Italy,Mechanical & Plant Engineering,210.3%,45.9%,,,1971,,,,"8,919,118",,16,,,,,,"27,675,090",27,2024
771,Onlineformapro,France,It & Software,210.0%,45.8%,,,1999,,,,"6,813,535",,84,,,,,,"21,124,253",178,2024
772,Physidia,France,Health Care & Life Sciences,209.8%,45.8%,,,2010,,,,"7,854,477",,46,,,,,,"24,336,557",59,2024
773,MPB Group,UK,Ecommerce,209.6%,45.7%,,,2011,,,,"52,208,161",,145,,,,,,"154,212,371",408,2024
774,Walz Haustechnik,Germany,Construction & Engineering,209.4%,45.7%,,,2016,,,,"926,472",,12,,,,,,"2,866,399",18,2024
775,Lakógép,Hungary,Construction & Engineering,208.7%,45.6%,,,2011,,,,"17,832,303",,16,,,,,,"45,499,582",34,2024
776,BPO Group,UK,Hospitality & Travel,207.6%,45.4%,,,1970,,,,"7,826,982",,7,,,,,,"22,971,447",10,2024
777,The Information Lab,Italy,It & Software,206.4%,45.2%,,,2015,,,,"3,000,543",,20,,,,,,"9,192,181",60,2024
778,The Software House,Poland,It & Software,206.2%,45.2%,,,2012,,,,"5,121,987",,146,,,,,,"14,194,386",288,2024
779,Epassi,Finland,"Fintech, Financial Services & Insurance",205.8%,45.1%,,,2007,,,,"135,923,327",,55,,,,,,"415,616,434",146,2024
780,Newroom,Germany,Ecommerce,205.7%,45.1%,,,2016,,,,"1,396,000",,5,,,,,,"4,267,000",9,2024
781,Hostersi,Poland,It & Software,205.6%,45.1%,,,2007,,,,"2,683,821",,43,,,,,,"7,421,825",67,2024
782,Cladspray Solutions,UK,Construction & Engineering,205.5%,45.1%,,,2013,,,,"951,848",,8,,,,,,"2,774,290",14,2024
783,Corset&Co,Italy,Manufacturing,205.1%,45.0%,,,2014,,,,"6,494,749",,47,,,,,,"19,814,635",106,2024
784,B&T Management,Italy,Hospitality & Travel,205.0%,45.0%,,,2009,,,,"6,105,989",,14,,,,,,"18,623,828",14,2024
785,Kernel Global,UK,Employment Services,204.4%,44.9%,,,2019,,,,"19,339,806",,195,,,,,,"56,180,222",254,2024
786,Ultra Premium Direct,France,Food & Beverages,204.1%,44.9%,,,2013,,,,"12,770,410",,43,,,,,,"38,840,713",109,2024
